model,price,mileage,used/certified,deal,Ext Color,Int Color,Trans,Drivetrain,Dealership,miles from Durham
2014 Toyota Corolla,"$11,599 ",0,USED,,Gray,,NOT SPECIFIED,FWD,Auto Advantage,206
2014 Toyota Corolla L,"$14,000 ","7,496",USED,GOOD DEAL,,,,Front Wheel Drive,Fred Anderson Toyota,10
2014 Toyota Corolla S,"$13,397 ","29,190",USED,GOOD DEAL,White,,Automatic CVT,FWD,DriveTime Virginia Beach Blvd,161
2014 Toyota Corolla S Plus,"$12,000 ","31,800",USED,GREAT DEAL,,,6-SPEED M/T,Front Wheel Drive,Classic Chrysler Jeep Dodge Ram,127
2014 Toyota Corolla S,"$12,997 ","32,654",USED,GREAT DEAL,Silver,,Automatic CVT,FWD,DriveTime Arch Road,127
2014 Toyota Corolla S Plus,"$13,495 ","33,821",USED,GOOD DEAL,,,Automatic CVT,FWD,Wright Way Hyundai,146
2014 Toyota Corolla LE Plus,"$12,490 ","33,827",USED,GOOD DEAL,Super White,,Automatic CVT,FWD,Koons Arlington Toyota,223
2014 Toyota Corolla L/LE/S/S PLUS/LE PLUS/LE PREMIUM/S,"$13,995 ","35,376",USED,GOOD DEAL,Gray,,,FWD,Capitol Motors LLC,170
2014 Toyota Corolla S Plus,"$13,450 ","39,550",CERTIFIED,GOOD DEAL,Black,,Automatic CVT,FWD,Bill Page Toyota,219
2014 Toyota Corolla L,"$11,746 ","44,354",USED,GOOD DEAL,,,6-Speed Manual,Front Wheel Drive,Burns Chevrolet - Cadillac,137
2014 Toyota Corolla S,"$13,995 ","46,336",USED,GOOD DEAL,Red,,Automatic CVT,FWD,House of Kars,206
2014 Toyota Corolla LE ECO,"$12,790 ","47,793",USED,GOOD DEAL,White,,Automatic CVT,FWD,Easterns Automotive Group of Sterling,220
2014 Toyota Corolla LE,"$11,300 ","48,082",USED,GREAT DEAL,Super White,,Automatic CVT,FWD,Hendrick Chevrolet Cadillac,115
2014 Toyota Corolla L,,"48,590",USED,,Silver,,4-Speed Automatic,FWD,IAD Auto,230
2014 Toyota Corolla S,"$12,988 ","48,992",USED,,Barcelona Red Metallic,,Automatic CVT,FWD,Leith Honda,19
2014 Toyota Corolla S,,"54,588",USED,GOOD DEAL,,,continuously variable (cvti s),Front Wheel Drive,Tim Marburger Honda,85
2014 Toyota Corolla LE,"$10,800 ","54,872",USED,,Black,,Automatic CVT,FWD,National Motors of Waldorf,214
2014 Toyota Corolla S,"$12,850 ","55,514",USED,GOOD DEAL,White,,Automatic CVT,FWD,Easterns Automotive Group of Laurel,243
2014 Toyota Corolla LE,"$10,499 ","59,164",USED,GREAT DEAL,Silver,,Automatic CVT,FWD,Ride Now Motors,118
2014 Toyota Corolla LE,"$10,899 ","60,942",USED,GOOD DEAL,White,,Automatic CVT,FWD,Carolina Direct Auto Sales,93
2014 Toyota Corolla LE,"$11,991 ","66,783",USED,FAIR PRICE,,,Automatic CVT,FWD,Fred Anderson Toyota of Charleston,230
2014 Toyota Corolla LE,"$9,995 ","67,028",USED,GREAT DEAL,,,continuously variable (cvti s),Front Wheel Drive,Vann York Bargain Cars,63
2014 Toyota Corolla L,,"70,433",USED,,Blue,,,FWD,Tom Hodges Mitsubishi,206
2014 Toyota Corolla L,"$11,877 ","73,570",USED,,,,,Front Wheel Drive,Fred Anderson Toyota of Columbia,185
2014 Toyota Corolla L,"$10,796 ","74,108",CERTIFIED,GOOD DEAL,Super White,,,Front Wheel Drive,Jack Taylor's Alexandria Toyota,220
2014 Toyota Corolla L,"$14,999 ","81,391",USED,,Blue Crush Metallic,,,Front Wheel Drive,Toyota of Kingsport,204
2014 Toyota Corolla S,"$10,700 ","90,634",USED,GOOD DEAL,Classic Silver Metallic,,Automatic CVT,FWD,CarLotz Chesapeake,158
2014 Toyota Corolla L,"$10,549 ","93,907",USED,GOOD DEAL,Black Sand Mica,,4-Speed Automatic,FWD,Dutch Miller Kia,224
